"NE Name","Slot ID","Board Name","Port","Input Power(dBm)","Reference Input Power(dBm)","Input Power Reference Value Time","Input Power State","Reference Input Power Lower Threshold(dBm)","Reference Input Power Upper Threshold(dBm)","Input Power Lower Threshold(dBm)","Min. Value of Input Power Lower Threshold(dBm)","Max. Value of Input Power Lower Threshold(dBm)","Input Power Upper Threshold(dBm)","Min. Value of Input Power Upper Threshold(dBm)","Max. Value of Input Power Upper Threshold(dBm)","Max. Pump Output Power(dBm)","Min. Pump Output Power(dBm)","Output Power(dBm)","Reference Output Power(dBm)","Output Power Reference Value Time","Output Power State","Output Power Lower Threshold(dBm)","Output Power Upper Threshold(dBm)","Reference Output Power Lower Threshold(dBm)","Reference Output Power Upper Threshold(dBm)","Input Power Lower Threshold Default Value(dBm)","Input Power Upper Threshold Default Value(dBm)","CFP/LANE Input Power Lower Threshold Default Value(dBm)","CFP/LANE Input Power Upper Threshold Default Value(dBm)"
TEMUCO-WDM-CR04C,Shelf0(subrack)-1,F2ELOM(STND),1(IN1/OUT1 A TEMUCO-WDM-CR04B MR8 S7 A4/D4 HACIA TRAIGUEN),/,/,/,/,/,/,/,-,-,/,-,-,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR04C,Shelf0(subrack)-1,F2ELOM(STND),2(IN2/OUT2),/,/,/,/,/,/,/,-,-,/,-,-,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR04C,Shelf0(subrack)-1,F2ELOM(STND),3(RX1/TX1 PA PE RAN 8KM14 ANGOL-OSN 8800 T32 ELE2 TTX S20 RX7/TX7),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR04C,Shelf0(subrack)-8,F3SCC,1(RM1/TM1),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR04C,Shelf0(subrack)-8,F3SCC,2(RM2/TM2),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-2,F3LDX,1(IN1/OUT1 A MR8 S6 A8/D8 HACIA LONCOCHE¨(AT 5dB)),"	-11.2",/,/,/,/,/,"	-18.0",-,-,1.0,-,-,-,-,1.0,/,/,/,"	-3.0",5.0,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-2,F3LDX,2(IN2/OUT2),/,/,/,/,/,/,/,-,-,/,-,-,-,-,/,/,/,/,/,/,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-2,F3LDX,3(IN3/OUT3),"	-60.0",/,/,/,/,/,"	-18.0",-,-,1.0,-,-,-,-,1.0,/,/,/,"	-3.0",5.0,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-2,F3LDX,4(IN4/OUT4),/,/,/,/,/,/,/,-,-,/,-,-,-,-,/,/,/,/,/,/,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-2,F3LDX,5(RX1/TX1 PB PE RAN 8KM14 PANGUIPULLI),"	-3.6",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.4",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
