"NE Name","Slot ID","Board Name","Port","Input Power(dBm)","Reference Input Power(dBm)","Input Power Reference Value Time","Input Power State","Reference Input Power Lower Threshold(dBm)","Reference Input Power Upper Threshold(dBm)","Input Power Lower Threshold(dBm)","Min. Value of Input Power Lower Threshold(dBm)","Max. Value of Input Power Lower Threshold(dBm)","Input Power Upper Threshold(dBm)","Min. Value of Input Power Upper Threshold(dBm)","Max. Value of Input Power Upper Threshold(dBm)","Max. Pump Output Power(dBm)","Min. Pump Output Power(dBm)","Output Power(dBm)","Reference Output Power(dBm)","Output Power Reference Value Time","Output Power State","Output Power Lower Threshold(dBm)","Output Power Upper Threshold(dBm)","Reference Output Power Lower Threshold(dBm)","Reference Output Power Upper Threshold(dBm)","Input Power Lower Threshold Default Value(dBm)","Input Power Upper Threshold Default Value(dBm)","CFP/LANE Input Power Lower Threshold Default Value(dBm)","CFP/LANE Input Power Upper Threshold Default Value(dBm)"
RGUA-WDM-RS02 ETN,Shelf0(subrack)-1,U5N401,1(IN1/OUT1 (TO LONG)),"	-10.9","	-8.6",2020-09-04 16:32:29,Warning Alert,"	-11.6","	-3.6","	-16.0","	-28.0",0.0,"	-2.0","	-28.0",0.0,-,-,"	-2.5",/,/,/,"	-6.0",0.0,-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-1,U5N401,1(IN1/OUT1 (TO LONG))-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-2,G1A212,1(IN1/OUT1 LOOP),"	-4.9",/,/,/,/,/,"	-20.0","	-24.0","	-3.0","	-4.0","	-24.0","	-3.0",-,-,"	-6.1",/,/,/,"	-10.0","	-2.0",-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-2,G1A212,2(IN2/OUT2),"	-60.0",/,/,/,/,/,"	-20.0","	-24.0","	-3.0","	-4.0","	-24.0","	-3.0",-,-,"	-6.2",/,/,/,"	-10.0","	-2.0",-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-2,G1A212,3(IN3/OUT3),"	-60.0",/,/,/,/,/,"	-20.0","	-24.0","	-3.0","	-4.0","	-24.0","	-3.0",-,-,"	-6.2",/,/,/,"	-10.0","	-2.0",-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-2,G1A212,4(IN4/OUT4),"	-60.0",/,/,/,/,/,"	-20.0","	-24.0","	-3.0","	-4.0","	-24.0","	-3.0",-,-,"	-6.2",/,/,/,"	-10.0","	-2.0",-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-2,G1A212,5(IN5/OUT5),"	-60.0",/,/,/,/,/,"	-20.0","	-24.0","	-3.0","	-4.0","	-24.0","	-3.0",-,-,"	-6.2",/,/,/,"	-10.0","	-2.0",-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-2,G1A212,6(IN6/OUT6),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-2,G1A212,7(IN7/OUT7),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-2,G1A212,8(IN8/OUT8),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
